Period,Class,MethodType,OverCollatDollar,OverCollatBids,OverCollatBidsPct,UnderCollatDollar,UnderCollatBids,UnderCollatBidsPct,EqualCollatBids,EqualCollatBidsPct
Jun_16,OFF,CreditRequired,-3559973.8394142967,949,0.5185792349726775,853735.1005027409,314,0.17158469945355193,4,0.002185792349726776
Jun_16,OFF,CreditRequiredStats05,-1820278.335806162,791,0.43224043715846994,1060729.0020698842,376,0.20546448087431693,112,0.06120218579234973
Jun_16,OFF,CreditRequiredStats02,-2178955.030373858,831,0.4540983606557377,971764.1214753623,349,0.1907103825136612,97,0.053005464480874315
Jun_16,ON,CreditRequired,-4215899.559028155,1133,0.5625620655412115,1388064.3651519495,279,0.1385302879841112,0,0
Jun_16,ON,CreditRequiredStats05,-1659583.466023411,871,0.43247269116186693,2210573.3726038164,413,0.20506454816286,138,0.06852035749751738
Jun_16,ON,CreditRequiredStats02,-2175177.347325003,921,0.4572989076464747,2131290.7045517107,387,0.19215491559086395,113,0.05610724925521351
Jul_16,OFF,CreditRequired,-3471655.526103095,1007,0.6642480211081794,378103.49389093264,174,0.11477572559366754,0,0
Jul_16,OFF,CreditRequiredStats05,-1422277.7227514323,778,0.5131926121372031,424640.8439212458,228,0.1503957783641161,182,0.12005277044854881
Jul_16,OFF,CreditRequiredStats02,-1664089.0245806626,829,0.5468337730870713,414868.7449916223,217,0.14313984168865435,139,0.09168865435356201
Jul_16,ON,CreditRequired,-4605950.321080871,1310,0.672139558748076,633604.0542426656,273,0.1400718317085685,0,0
Jul_16,ON,CreditRequiredStats05,-1455885.0550253324,950,0.4874294510005131,836745.2042296692,424,0.21754746023601848,223,0.11441765007696254
Jul_16,ON,CreditRequiredStats02,-2008680.9832541742,1037,0.5320677270395074,725632.2216957291,379,0.1944586967675731,178,0.09132888660851719
Aug_16,OFF,CreditRequired,-4029086.4479501136,1126,0.6903740036787247,124265.61281939974,201,0.12323727774371551,0,0
Aug_16,OFF,CreditRequiredStats05,-1939231.539573767,868,0.5321888412017167,172634.21084713787,295,0.18087063151440833,168,0.10300429184549356
Aug_16,OFF,CreditRequiredStats02,-2240256.882305781,910,0.5579399141630901,163481.16922032693,273,0.16738197424892703,147,0.09012875536480687
Aug_16,ON,CreditRequired,-5208849.0804643165,1438,0.7066339066339067,447016.9563433218,280,0.1375921375921376,0,0
Aug_16,ON,CreditRequiredStats05,-2275858.4586522332,1112,0.5464373464373464,541834.4993681748,357,0.17542997542997543,257,0.1262899262899263
Aug_16,ON,CreditRequiredStats02,-2634897.6256601675,1184,0.5818181818181818,515329.80133935285,324,0.15921375921375922,215,0.10565110565110565
Sep_16,OFF,CreditRequired,-3715587.7569442964,802,0.5905743740795287,2025578.8353916944,274,0.20176730486008837,0,0
Sep_16,OFF,CreditRequiredStats05,-1389009.8722609018,576,0.42415316642120765,3013169.6223030253,398,0.2930780559646539,110,0.08100147275405008
Sep_16,OFF,CreditRequiredStats02,-1599037.3261869627,598,0.44035346097201766,2956371.652716829,388,0.2857142857142857,97,0.07142857142857142
Sep_16,ON,CreditRequired,-4089591.6344709103,784,0.5739385065885798,2166252.0946145197,291,0.2130307467057101,0,0
Sep_16,ON,CreditRequiredStats05,-995688.8051073082,566,0.4143484626647145,3087565.367582937,413,0.30234260614934116,103,0.07540263543191801
Sep_16,ON,CreditRequiredStats02,-1223723.107632896,606,0.44363103953147875,3015586.030527884,396,0.28989751098096633,80,0.05856515373352855
Fall_16,OFF,CreditRequired,-7654960.700547373,786,0.608359133126935,877957.6402893136,230,0.1780185758513932,0,0
Fall_16,OFF,CreditRequiredStats05,-3420576.443566275,551,0.4264705882352941,1680634.6341944898,355,0.27476780185758515,239,0.184984520123839
Fall_16,OFF,CreditRequiredStats02,-3894772.062353937,578,0.4473684210526316,1601231.0613978805,341,0.26393188854489164,226,0.17492260061919504
Fall_16,ON,CreditRequired,-6858657.908089605,847,0.5890125173852573,2709074.168780568,281,0.19541029207232266,0,0
Fall_16,ON,CreditRequiredStats05,-2207891.8187954025,590,0.4102920723226704,3336742.478668984,344,0.23922114047287898,335,0.2329624478442281
Fall_16,ON,CreditRequiredStats02,-2608007.1192905367,615,0.42767732962447846,3265960.0448465613,341,0.23713490959666203,311,0.21627260083449235
Winter_16,OFF,CreditRequired,-6121921.567200951,777,0.7038043478260869,3644006.411031709,312,0.2826086956521739,0,0
Winter_16,OFF,CreditRequiredStats05,-2430930.2917166096,578,0.5235507246376812,4986407.539615356,379,0.3432971014492754,138,0.125
Winter_16,OFF,CreditRequiredStats02,-2678261.1662219106,602,0.5452898550724637,4914229.532929661,372,0.33695652173913043,121,0.10960144927536232
Winter_16,ON,CreditRequired,-6305799.72222867,953,0.7410575427682737,3823640.4684138987,319,0.24805598755832037,0,0
Winter_16,ON,CreditRequiredStats05,-2757114.505933796,766,0.5956454121306376,4274438.972576135,367,0.2853810264385692,141,0.10964230171073094
Winter_16,ON,CreditRequiredStats02,-3266599.9390936894,802,0.6236391912908242,4194795.550709273,355,0.276049766718507,117,0.09097978227060653
Spring_17,OFF,CreditRequired,-3061436.6979746018,675,0.6790744466800804,3143714.7359578786,319,0.3209255533199195,0,0
Spring_17,OFF,CreditRequiredStats05,-1329625.9506103348,515,0.5181086519114688,4446984.929411606,421,0.42354124748490946,58,0.05835010060362173
Spring_17,OFF,CreditRequiredStats02,-1492540.8137142682,540,0.5432595573440644,4403447.106360433,404,0.40643863179074446,50,0.05030181086519115
Spring_17,ON,CreditRequired,-3179961.87251906,784,0.7114337568058077,3151151.514115367,318,0.2885662431941924,0,0
Spring_17,ON,CreditRequiredStats05,-1436595.235159506,625,0.5671506352087115,4030979.638559531,368,0.3339382940108893,109,0.09891107078039928
Spring_17,ON,CreditRequiredStats02,-1744624.4129841907,651,0.5907441016333939,4008817.8120372053,361,0.3275862068965517,90,0.08166969147005444
